id,name,no_ep
20,Ants in my Eyes Johnson,1
40,Beth's Mytholog,1
60,Calypso,1
80,Creepy Little Girl,1
100,Bubonic Plague,1
120,Evil Summer Clone,1
140,Genital Washer,1
160,Hunter's Father,1
180,Jessica,12
200,Lawyer Morty,1
220,Mega Fruit Farmer Rick,1
240,Mr. Goldenfold,10
260,Phillip Jacobs,1
280,Reverse Giraffe,1
300,Roger,1
320,Shnoopy Bloopers,1
340,Supernova,1
360,Toxic Morty,1
380,Unknown Rick,2
400,Giant Judge,1
420,Plutonian Host,1
440,Veterinary Nurse,1
460,Traflorkian Journalist,1
480,Purple Morty,1
500,Fascist Mr. President,1
520,Wasp Jerry,1
540,Running Bird,1
560,Gramuflackian General,1
580,Secret Service Snake,1
600,Cats Fan,1
620,Ramamama Lord,1
640,Angry Glorzo,1
660,Morty’s Mother-in-law,1
680,Adam,1
700,Wicker Summer,1
720,Eddie,1
740,Cirque du Soleil Zumanity Member,1
760,Turkey Rick,1
780,Memory Tammy,1
800,Super Turkey,1
820,Redhead Morty,1
826,Butter Robot,1
